doctor,picture,abnormality,assess1,correct1,confidence1,assess2,correct2,confidence2,domain
1,1,0,0,1,2,0,1,2,back
1,2,0,1,0,1,0,1,1,back
1,3,0,0,1,1,0,1,1,back
1,4,0,0,1,2,0,1,2,back
1,5,0,0,1,2,0,1,2,back
1,6,0,1,0,1,0,1,1,back
1,7,0,0,1,1,0,1,2,back
1,8,0,1,0,1,0,1,1,back
1,9,0,0,1,1,0,1,1,back
1,10,1,1,1,2,1,1,2,back
1,11,0,1,0,2,0,1,1,back
1,12,0,0,1,2,0,1,2,back
1,13,0,0,1,2,0,1,2,back
1,14,0,1,0,2,0,1,1,back
1,15,0,0,1,2,0,1,1,back
1,16,1,1,1,2,1,1,2,back
1,17,1,1,1,2,1,1,2,back
1,18,0,0,1,1,0,1,2,back
1,19,0,1,0,2,1,0,1,back
1,20,0,0,1,2,0,1,2,back
1,21,1,1,1,2,1,1,2,back
1,22,0,0,1,2,0,1,2,back
1,23,0,0,1,1,0,1,2,back
1,24,0,0,1,1,0,1,1,back
1,25,0,0,1,2,0,1,2,back
1,26,0,1,0,1,0,1,2,back
1,27,0,0,1,2,0,1,2,back
1,28,0,0,1,1,0,1,2,back
1,29,1,1,1,2,0,0,1,back
1,30,0,1,0,2,0,1,1,back
1,31,0,0,1,2,0,1,1,back
1,32,0,0,1,2,0,1,2,back
1,33,0,0,1,1,0,1,2,back
1,34,0,0,1,2,0,1,2,back
1,35,0,0,1,1,0,1,2,back
1,36,0,0,1,1,0,1,2,back
1,37,0,0,1,1,0,1,1,back
1,38,0,1,0,1,0,1,2,back
1,39,0,0,1,2,0,1,2,back
1,40,1,1,1,1,0,0,1,back
1,41,0,0,1,1,0,1,2,back
1,42,0,0,1,2,0,1,1,back
1,43,0,0,1,1,0,1,2,back
1,44,0,0,1,1,0,1,1,back
1,45,1,1,1,2,1,1,2,back
1,46,1,1,1,2,1,1,2,back
1,47,0,0,1,2,0,1,2,back
1,48,0,0,1,1,0,1,2,back
1,49,1,1,1,1,0,0,1,back
1,50,0,0,1,1,0,1,1,back
1,51,0,0,1,1,1,0,1,back
1,52,1,1,1,1,1,1,2,back
1,53,0,0,1,2,0,1,2,back
1,54,0,0,1,2,0,1,2,back
1,55,0,0,1,1,0,1,1,back
1,56,0,0,1,1,0,1,2,back
1,57,0,0,1,1,0,1,2,back
1,58,0,0,1,2,0,1,2,back
1,59,0,0,1,1,0,1,1,back
1,60,0,0,1,1,0,1,1,back
1,61,0,0,1,1,0,1,1,back
1,62,0,0,1,2,0,1,1,back
1,63,0,0,1,2,0,1,2,back
1,64,1,0,0,1,1,1,2,back
1,65,0,1,0,1,0,1,1,back
1,66,0,0,1,1,0,1,2,back
1,67,0,0,1,1,1,0,1,back
1,68,0,0,1,1,1,0,1,back
1,69,0,0,1,2,0,1,1,back
1,70,0,1,0,1,0,1,2,back
1,71,0,0,1,2,0,1,2,back
1,72,0,0,1,2,0,1,2,back
1,73,0,0,1,1,0,1,2,back
1,74,0,0,1,2,0,1,2,back
1,75,0,0,1,1,0,1,1,back
1,76,0,0,1,1,0,1,1,back
1,77,0,0,1,2,0,1,2,back
1,78,1,1,1,2,1,1,2,back
1,79,0,0,1,1,0,1,1,back
1,80,0,1,0,2,0,1,1,back
1,81,1,0,0,2,0,0,2,back
1,82,0,0,1,1,0,1,2,back
1,83,0,0,1,2,0,1,2,back
1,84,0,0,1,1,0,1,1,back
1,85,0,0,1,1,0,1,2,back
1,86,0,0,1,1,0,1,2,back
1,87,0,0,1,1,0,1,1,back
1,88,0,0,1,2,0,1,2,back
1,89,0,1,0,2,1,0,2,back
1,90,0,0,1,1,0,1,2,back
1,91,0,0,1,2,0,1,1,back
1,92,0,0,1,2,0,1,2,back
1,93,0,0,1,1,0,1,2,back
1,94,0,0,1,2,0,1,2,back
1,95,0,0,1,2,0,1,2,back
1,96,0,0,1,1,0,1,1,back
1,97,0,0,1,1,0,1,1,back
1,98,1,1,1,2,1,1,2,back
1,99,0,0,1,2,0,1,2,back
1,100,0,0,1,1,0,1,1,back
1,101,1,1,1,1,1,1,2,back
1,102,0,0,1,1,0,1,2,back
1,103,0,0,1,1,0,1,1,back
1,104,0,0,1,1,0,1,2,back
1,105,1,1,1,2,1,1,2,back
1,106,0,0,1,2,0,1,2,back
1,107,1,0,0,1,0,0,2,back
1,108,1,1,1,1,1,1,2,back
1,109,1,1,1,1,1,1,1,back
1,110,1,1,1,2,0,0,2,back
1,111,0,1,0,1,1,0,1,back
1,112,0,1,0,1,1,0,1,back
1,113,0,0,1,1,0,1,1,back
1,114,0,0,1,1,0,1,2,back
1,115,0,0,1,1,0,1,1,back
1,116,0,0,1,2,0,1,2,back
1,117,0,0,1,1,0,1,2,back
1,118,0,0,1,1,0,1,1,back
1,119,0,1,0,2,0,1,1,back
1,120,1,1,1,2,1,1,2,back
1,121,0,0,1,1,0,1,1,back
1,122,0,1,0,1,0,1,1,back
1,123,0,1,0,2,1,0,2,back
1,124,0,0,1,1,0,1,2,back
1,125,1,1,1,2,1,1,2,back
1,126,0,1,0,1,0,1,1,back
1,127,1,1,1,1,0,0,2,back
1,128,0,0,1,1,0,1,2,back
1,129,0,0,1,1,0,1,1,back
1,130,0,0,1,1,0,1,2,back
1,131,0,1,0,1,0,1,2,back
1,132,0,0,1,1,0,1,1,back
1,133,0,0,1,2,0,1,2,back
1,134,0,0,1,1,0,1,2,back
1,135,0,0,1,1,1,0,1,back
1,136,0,0,1,1,0,1,2,back
1,137,0,0,1,1,1,0,1,back
1,138,0,1,0,1,0,1,1,back
1,139,0,0,1,2,0,1,2,back
1,140,0,0,1,1,0,1,1,back
1,141,0,0,1,1,1,0,1,back
1,142,0,0,1,2,0,1,2,back
1,143,1,1,1,2,1,1,2,back
1,144,0,0,1,2,0,1,2,back
1,145,0,0,1,1,0,1,2,back
1,146,0,0,1,2,0,1,2,back
1,147,0,0,1,2,0,1,2,back
1,148,1,1,1,1,0,0,1,back
1,149,0,0,1,1,0,1,1,back
1,150,0,1,0,2,1,0,2,back
1,151,0,0,1,1,0,1,2,back
1,152,1,0,0,1,1,1,1,back
1,153,1,1,1,2,1,1,2,back
1,154,0,0,1,2,0,1,2,back
1,155,0,0,1,2,0,1,2,back
1,156,0,0,1,1,0,1,1,back
1,157,0,0,1,1,0,1,2,back
1,158,0,0,1,1,0,1,1,back
1,159,0,0,1,1,0,1,1,back
1,160,0,0,1,1,0,1,2,back
1,161,1,1,1,2,1,1,2,back
1,162,0,0,1,2,0,1,2,back
1,163,0,0,1,1,0,1,1,back
1,164,0,0,1,1,0,1,1,back
1,165,1,1,1,1,1,1,1,back
1,166,1,1,1,2,1,1,2,back
1,167,0,0,1,1,0,1,1,back
1,168,0,0,1,1,0,1,2,back
1,169,1,1,1,2,1,1,2,back
1,170,0,0,1,1,0,1,2,back
1,171,0,1,0,1,0,1,1,back
1,172,0,0,1,1,0,1,1,back
1,173,0,0,1,1,0,1,2,back
1,174,0,0,1,1,0,1,1,back
1,175,0,1,0,1,0,1,2,back
1,176,0,0,1,1,0,1,1,back
1,177,0,0,1,1,0,1,2,back
1,178,0,1,0,2,0,1,1,back
1,179,0,0,1,1,0,1,1,back
1,180,0,0,1,1,0,1,2,back
1,181,0,0,1,1,0,1,2,back
1,182,0,0,1,2,0,1,2,back
1,183,0,0,1,1,0,1,1,back
1,184,1,1,1,2,1,1,2,back
1,185,1,1,1,1,1,1,2,back
